No.,FoodLabel,Breakfast,Lunch,Dinner,Recommend,Tag,Brand,Name,Braname,Intake_g,Cal_kcal,CHO_g,Fiber_g,Sugar_g,Fat_g,SF_g,PUSF_g,MUSF_g,TF_g,Protein_g,Na_mg,K_mg,TC_mg,Resource,UpdateTime
1,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1杯,102,12.18,0,12.69,2.37,1.55,0.09,0.68,,8.22,107,366,12,fatsecret中國,20070821
2,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1個（學生奶盒大小）（240 ml）,102,12.18,0,12.69,2.37,1.55,0.09,0.68,,8.22,107,366,12,fatsecret中國,20070821
3,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1份（244 g）,102,12.18,0,12.69,2.37,1.55,0.09,0.68,,8.22,107,366,12,fatsecret中國,20070821
4,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1標準一杯的份量，冷麥片,51,6.09,0,6.34,1.18,0.77,0.04,0.34,,4.11,54,183,6,fatsecret中國,20070821
5,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,100 ml,43,5.15,0,5.36,1,0.65,0.04,0.29,,3.48,45,155,5,fatsecret中國,20070821
6,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,100 g,42,4.99,0,5.2,0.97,0.63,0.04,0.28,,3.37,44,150,5,fatsecret中國,20070821
7,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1標準一杯的份量，熱麥片,26,3.04,0,3.17,0.59,0.39,0.02,0.17,,2.06,27,92,3,fatsecret中國,20070821
8,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,130 ml,13,1.52,0,1.59,0.3,0.19,0.01,0.08,,1.03,13,46,2,fatsecret中國,20070821
9,9,1,1,1,1,,,1％脂肪牛奶, 1％脂肪牛奶,1以30 ml為標準份量，飲料,1,0.12,0,0.13,0.02,0.02,0,0.01,,0.08,1,4,0,fatsecret中國,20070821
10,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,1杯,822,211.33,0,187.49,0.63,0.11,0.32,0.2,,0,28,643,0,fatsecret中國,20070821
11,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,100 g,261,67.09,0,59.52,0.2,0.04,0.1,0.06,,0,9,204,0,fatsecret中國,20070821
12,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,1份，個人份量包裝份,154,39.58,0,35.12,0.12,0.02,0.06,0.04,,0,5,120,0,fatsecret中國,20070821
13,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,1份（40 g),104,26.84,0,23.81,0.08,0.01,0.04,0.03,,0,4,82,0,fatsecret中國,20070821
14,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,1盎司,74,19.02,0,16.87,0.06,0.01,0.03,0.02,,0,3,58,0,fatsecret中國,20070821
15,7,0,0,0,0,,,100％純楓樹糖漿, 100％純楓樹糖漿,1餐匙/湯匙,52,13.42,0,11.9,0.04,0.01,0.02,0.01,,0,2,41,0,fatsecret中國,20070821
16,4,0,0,0,0,,,100百份芒果味QQ糖, 100百份芒果味QQ糖,3 g,33,7,0,0,0,0,0,0,0,0,0,0,0,Under Armour,2019
17,9,1,1,1,0,,,17茶, 17茶,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0,Under Armour,2019
18,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1個（學生奶盒大小）（240 ml）,122,11.42,0,12.35,4.81,3.07,0.18,1.37,,8.05,100,366,20,fatsecret中國,20070821
19,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1份（244 g）,122,11.42,0,12.35,4.81,3.07,0.18,1.37,,8.05,100,366,20,fatsecret中國,20070821
20,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1杯,122,11.42,0,12.35,4.81,3.07,0.18,1.37,,8.05,100,366,20,fatsecret中國,20070821
21,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1標準一杯的份量，冷麥片,61,5.71,0,6.17,2.4,1.53,0.09,0.68,,4.03,50,183,10,fatsecret中國,20070821
22,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,100 ml,52,4.83,0,5.22,2.03,1.3,0.08,0.58,,3.4,42,155,8,fatsecret中國,20070821
23,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,100 g,50,4.68,0,5.06,1.97,1.26,0.07,0.56,,3.3,41,150,8,fatsecret中國,20070821
24,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1標準一杯的份量，熱麥片,30,2.85,0,3.09,1.2,0.77,0.05,0.34,,2.01,25,92,5,fatsecret中國,20070821
25,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,130 ml,15,1.43,0,1.54,0.6,0.38,0.02,0.17,,1.01,13,46,2,fatsecret中國,20070821
26,9,1,1,1,1,,,2％脂肪牛奶, 2％脂肪牛奶,1以30 ml為標準份量，飲料,1,0.12,0,0.13,0.05,0.03,0,0.01,,0.08,1,4,0,fatsecret中國,20070821
27,1,1,1,1,0,,,7仔小籠包, 7仔小籠包,100 g,219,22,0,2,11,2,0,0,0,7,382,0,0,Under Armour,2019
28,4,0,0,0,0,,,A-chino-珍珠奶茶雪糕, A-chino-珍珠奶茶雪糕,80 g,84,10,3,7,4,3,0,0,0,1,1,0,0,Under Armour,2019
29,9,1,1,1,0,,,AGF紅茶球, AGF紅茶球,10 g,4,1,0,0,0,0,0,0,0,0,0,0,0,Under Armour,2019
30,3,0,0,0,0,,,A菜, A菜,100 g,20,3.31,1.4,1.9,0.4,0.05,0.2,0.03,,1.74,18,255,0,fatsecret中國,20141119
31,3,0,0,0,0,,,A菜, A菜,1杯,16,2.65,1.1,1.52,0.32,0.04,0.16,0.02,,1.39,15,204,0,fatsecret中國,20141119
32,3,0,0,0,0,,,A菜, A菜,1份（40 g）,8,1.32,0.6,0.76,0.16,0.02,0.08,0.01,,0.7,7,102,0,fatsecret中國,20141119
33,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1杯，顆粒狀,511,4.69,0.4,1.43,43.68,18.34,1.82,19.63,,22.77,350,293,96,fatsecret中國,20070821
34,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,100 g,381,3.5,0.3,1.07,32.6,13.69,1.36,14.65,,16.99,261,219,72,fatsecret中國,20070821
35,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1大塊的（煮熟後，去骨）,351,3.22,0.3,0.98,29.99,12.59,1.25,13.48,,15.63,240,201,66,fatsecret中國,20070821
36,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1份（85 g）,324,2.97,0.3,0.91,27.71,11.64,1.15,12.45,,14.44,222,186,61,fatsecret中國,20070821
37,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1塊，中型中型的（煮熟後，去骨）,251,2.31,0.2,0.71,21.52,9.03,0.9,9.67,,11.21,172,145,48,fatsecret中國,20070821
38,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1塊，小的（煮熟後，去骨）,107,0.98,0.1,0.3,9.13,3.83,0.38,4.1,,4.76,73,61,20,fatsecret中國,20070821
39,3,0,0,0,0,,,BBQ烤牛短肋肋骨（帶醬）, BBQ烤牛短肋肋骨（帶醬）,1盎司，帶骨（去骨後）,57,0.52,0,0.16,4.89,2.05,0.2,2.2,,2.55,39,33,11,fatsecret中國,20070821
